index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
129.0,AMZN,2019-10-02,2019-10-04,574.0,444.0,1727.5,338,188.0,0.352638249,AMZN,2019-10-02,85.66,86.44,85.25,86.39,66768000.0,1713.23,1728.89,1705.0,1727.74
118.0,AMZN,2019-10-09,2019-10-11,1579.0,869.0,1720.0,759,1837.0,0.569612645,AMZN,2019-10-09,86.1,86.5,85.72,85.98,41784000.0,1721.99,1729.95,1714.36,1719.61
212.0,AMZN,2019-10-16,2019-10-18,3593.0,776.0,1785.0,243,2091.0,0.447727836,AMZN,2019-10-16,88.87,89.31,88.53,88.67,56080000.0,1777.43,1786.24,1770.52,1773.33
150.0,AMZN,2019-10-23,2019-10-25,588.0,488.0,1770.0,532,615.0,0.486744203,AMZN,2019-10-23,88.11,88.5,87.1,88.06,43806000.0,1762.17,1770.05,1742.0,1761.3
148.0,AMZN,2019-10-30,2019-11-01,762.0,468.0,1777.5,90,726.0,0.514204715,AMZN,2019-10-30,89.0,89.12,87.96,88.01,48988000.0,1779.99,1782.38,1759.12,1760.24
144.0,AMZN,2019-11-06,2019-11-08,443.0,577.0,1802.5,330,453.0,0.333299258,AMZN,2019-11-06,89.79,90.12,89.43,90.05,40594000.0,1795.77,1802.5,1788.58,1801.0
150.0,AMZN,2019-11-13,2019-11-15,2816.0,1419.0,1775.0,1805,2667.0,0.164567637,AMZN,2019-11-13,87.66,88.75,87.37,88.67,58524000.0,1753.11,1775.0,1747.32,1773.39
141.0,AMZN,2019-11-20,2019-11-22,1012.0,497.0,1762.5,217,254.0,0.222007852,AMZN,2019-11-20,87.28,88.13,86.71,87.46,55874000.0,1745.53,1762.52,1734.12,1749.14
158.0,AMZN,2019-11-27,2019-11-29,2225.0,484.0,1822.5,4,413.0,0.416493231,AMZN,2019-11-27,90.93,91.22,89.86,90.05,60715996.0,1818.51,1824.5,1797.31,1801.0
132.0,AMZN,2019-12-04,2019-12-06,3137.0,819.0,1785.0,645,636.0,0.202644044,AMZN,2019-12-04,88.03,89.45,88.01,88.7,53614000.0,1760.69,1789.09,1760.22,1774.01
111.0,AMZN,2019-12-11,2019-12-13,2240.0,620.0,1745.0,784,1079.0,0.535745579,AMZN,2019-12-11,87.44,87.5,86.78,87.08,42026000.0,1748.72,1750.0,1735.71,1741.67
161.0,AMZN,2019-12-18,2019-12-20,1109.0,592.0,1797.5,82,300.0,0.339981097,AMZN,2019-12-18,89.2,89.91,89.12,89.75,67082000.0,1784.03,1798.2,1782.36,1795.02
178.0,AMZN,2020-01-08,2020-01-10,4799.0,2350.0,1910.0,497,627.0,0.391714832,AMZN,2020-01-08,94.6,95.55,94.32,94.9,70238000.0,1891.97,1911.0,1886.44,1898.04
203.0,AMZN,2020-01-15,2020-01-17,1627.0,735.0,1865.0,945,1264.0,0.421406434,AMZN,2020-01-15,93.1,93.94,92.75,93.61,57930004.0,1862.02,1878.86,1855.09,1872.25
181.0,AMZN,2020-01-22,2020-01-24,1430.0,369.0,1902.5,62,97.0,0.328097822,AMZN,2020-01-22,94.37,95.12,94.17,94.8,64323996.0,1887.46,1902.5,1883.34,1896.09
177.0,AMZN,2020-01-29,2020-01-31,269.0,201.0,1872.5,445,228.0,0.45744797,AMZN,2020-01-29,92.9,93.74,92.75,93.2,42026000.0,1858.0,1874.75,1855.02,1864.0
235.0,AMZN,2020-02-05,2020-02-07,224.0,97.0,2067.5,29,58.0,0.290967476,AMZN,2020-02-05,101.99,103.55,101.6,103.55,87522000.0,2039.87,2071.02,2032.0,2071.02
195.0,AMZN,2020-02-12,2020-02-14,2099.0,924.0,2160.0,496,2164.0,0.540821559,AMZN,2020-02-12,108.0,109.01,107.76,108.16,66684000.0,2160.0,2180.25,2155.29,2163.2
192.0,AMZN,2020-02-19,2020-02-21,1972.0,458.0,2185.0,40,1760.0,0.376155348,AMZN,2020-02-19,108.51,109.26,108.06,108.39,51222000.0,2170.22,2185.1,2161.12,2167.8
