index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
34.0,META,2019-08-21,2019-08-23,9067.0,4376.0,185.0,2456.0,5272.0,0.353530773,META,2019-08-21,183.55,185.9,183.14,185.0,8409500.0,183.55,185.9,183.14,185.0
32.0,META,2019-08-28,2019-08-30,2757.0,2818.0,180.0,5503.0,5134.0,0.620617722,META,2019-08-28,181.76,181.95,178.92,180.53,9392000.0,181.76,181.95,178.92,180.53
35.0,META,2019-09-04,2019-09-06,15322.0,4974.0,187.5,865.0,4212.0,0.497208238,META,2019-09-04,187.14,187.75,183.89,184.65,11314500.0,187.14,187.75,183.89,184.65
35.0,META,2019-09-11,2019-09-13,11630.0,7838.0,187.5,3653.0,6748.0,0.583355837,META,2019-09-11,188.49,189.44,186.08,186.46,11761600.0,188.49,189.44,186.08,186.46
33.0,META,2019-09-18,2019-09-20,12514.0,6919.0,187.5,6054.0,7958.0,0.597284623,META,2019-09-18,188.14,189.08,186.01,188.09,9945700.0,188.14,189.08,186.01,188.09
15.0,META,2019-09-25,2019-09-27,18943.0,4203.0,182.5,3433.0,3299.0,0.552424987,META,2019-09-25,182.8,183.42,177.87,181.45,18339900.0,182.8,183.42,177.87,181.45
15.0,META,2019-10-02,2019-10-04,16163.0,1394.0,175.0,4295.0,11255.0,0.49217736,META,2019-10-02,174.6,176.53,173.09,174.84,16374100.0,174.6,176.53,173.09,174.84
17.0,META,2019-10-09,2019-10-11,9573.0,5534.0,180.0,2411.0,3891.0,0.521282577,META,2019-10-09,179.85,180.72,177.94,179.16,7648800.0,179.85,180.72,177.94,179.16
26.0,META,2019-10-16,2019-10-18,5816.0,7164.0,187.5,3127.0,16084.0,0.688853643,META,2019-10-16,189.55,189.7,186.9,188.32,10560300.0,189.55,189.7,186.9,188.32
20.0,META,2019-10-23,2019-10-25,13324.0,9840.0,185.0,6585.0,7886.0,0.567002059,META,2019-10-23,186.15,186.38,182.0,182.01,12370800.0,186.15,186.38,182.0,182.01
