ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
GOOG,2019-10-02,2019-10-04,1008.0,21.0,1195.0,474.0,156.0,0.23970146,GOOG,2019-10-02,58.83,59.85,58.56,59.85,32784000.0,1176.63,1196.99,1171.29,1196.98
GOOG,2019-10-09,2019-10-11,41.0,93.0,1207.5,57.0,6.0,0.437690776,GOOG,2019-10-09,60.12,60.42,59.88,59.97,17530000.0,1202.31,1208.35,1197.63,1199.35
GOOG,2019-10-16,2019-10-18,125.0,90.0,1252.5,16.0,38.0,0.334935384,GOOG,2019-10-16,62.18,62.74,61.92,62.06,23362000.0,1243.64,1254.74,1238.45,1241.17
GOOG,2019-10-23,2019-10-25,258.0,84.0,1257.5,17.0,110.0,0.527180468,GOOG,2019-10-23,62.96,63.0,62.12,62.12,18570000.0,1259.13,1259.89,1242.36,1242.36
GOOG,2019-10-30,2019-11-01,634.0,304.0,1265.0,163.0,78.0,0.490904618,GOOG,2019-10-30,63.06,63.47,62.6,62.65,28176000.0,1261.29,1269.36,1252.0,1252.97
GOOG,2019-11-06,2019-11-08,106.0,96.0,1292.5,126.0,255.0,0.439422102,GOOG,2019-11-06,64.59,64.69,64.12,64.47,23058000.0,1291.8,1293.73,1282.5,1289.46
GOOG,2019-11-13,2019-11-15,115.0,62.0,1302.5,34.0,164.0,0.41883068,GOOG,2019-11-13,64.9,65.22,64.68,64.7,17074000.0,1298.0,1304.3,1293.51,1294.07
GOOG,2019-11-20,2019-11-22,195.0,49.0,1307.5,66.0,76.0,0.372052764,GOOG,2019-11-20,65.15,65.75,64.56,65.59,26196000.0,1303.05,1315.0,1291.15,1311.74
GOOG,2019-11-27,2019-11-29,262.0,198.0,1317.5,76.0,29.0,0.249859626,GOOG,2019-11-27,65.65,65.92,65.48,65.75,19926000.0,1312.99,1318.36,1309.63,1315.0
GOOG,2019-12-04,2019-12-06,1086.0,306.0,1320.0,35.0,839.0,0.539816323,GOOG,2019-12-04,66.03,66.29,65.24,65.35,30761998.0,1320.54,1325.8,1304.87,1307.01
GOOG,2019-12-11,2019-12-13,511.0,873.0,1350.0,327.0,26.0,0.374195606,GOOG,2019-12-11,67.25,67.56,67.13,67.54,17014000.0,1345.02,1351.2,1342.67,1350.84
GOOG,2019-12-18,2019-12-20,318.0,413.0,1357.5,84.0,123.0,0.380350582,GOOG,2019-12-18,67.63,68.02,67.55,67.83,33139998.0,1352.62,1360.47,1351.0,1356.6
GOOG,2020-01-08,2020-01-10,1661.0,729.0,1400.0,247.0,1006.0,0.722999153,GOOG,2020-01-08,70.22,70.58,69.54,69.6,30582000.0,1404.32,1411.58,1390.84,1392.08
GOOG,2020-01-15,2020-01-17,748.0,1071.0,1440.0,276.0,156.0,0.425028722,GOOG,2020-01-15,71.96,72.07,71.51,71.51,25652000.0,1439.2,1441.4,1430.21,1430.21
GOOG,2020-01-22,2020-01-24,5942.0,5076.0,1500.0,68.0,303.0,0.29939741,GOOG,2020-01-22,74.3,75.16,74.25,74.55,32216000.0,1485.95,1503.21,1484.93,1491.0
GOOG,2020-01-29,2020-01-31,307.0,71.0,1462.5,55.0,56.0,0.484252766,GOOG,2020-01-29,72.93,73.27,72.34,72.94,21572000.0,1458.63,1465.43,1446.74,1458.8
GOOG,2020-02-05,2020-02-07,73.0,93.0,1462.5,254.0,50.0,0.27815802,GOOG,2020-02-05,72.41,73.19,71.53,73.12,39722000.0,1448.23,1463.84,1430.56,1462.42
GOOG,2020-02-12,2020-02-14,175.0,82.0,1512.5,77.0,67.0,0.627254657,GOOG,2020-02-12,75.91,76.04,75.41,75.72,23350000.0,1518.27,1520.7,1508.11,1514.48
GOOG,2020-02-19,2020-02-21,807.0,824.0,1530.0,148.0,1547.0,0.456975411,GOOG,2020-02-19,76.33,76.6,76.07,76.25,18984000.0,1526.69,1532.11,1521.4,1525.07
GOOG,2020-02-26,2020-02-28,191.0,48.0,1415.0,183.0,103.0,0.324753072,GOOG,2020-02-26,69.66,70.78,68.95,69.81,44078000.0,1393.18,1415.7,1379.0,1396.14
GOOG,2020-03-04,2020-03-06,139.0,53.0,1385.0,22.0,2.0,0.431405394,GOOG,2020-03-04,69.33,69.4,67.16,67.96,38266000.0,1386.52,1388.09,1343.11,1359.23
GOOG,2020-03-11,2020-03-13,634.0,428.0,1260.0,122.0,8.0,0.237499133,GOOG,2020-03-11,60.77,63.05,59.8,62.48,52224000.0,1215.41,1260.96,1196.07,1249.7
GOOG,2020-03-18,2020-03-20,148.0,81.0,1060.0,65.0,488.0,0.533243775,GOOG,2020-03-18,54.84,55.32,51.86,52.82,84668000.0,1096.8,1106.5,1037.28,1056.51
GOOG,2020-03-25,2020-03-27,53.0,25.0,1145.0,3.0,6.0,0.388339914,GOOG,2020-03-25,55.12,57.44,54.3,56.32,81630000.0,1102.49,1148.9,1086.01,1126.47
GOOG,2020-04-01,2020-04-03,136.0,236.0,1115.0,64.0,105.0,0.435312525,GOOG,2020-04-01,55.28,56.48,54.87,56.1,46882000.0,1105.62,1129.69,1097.45,1122.0
GOOG,2020-04-08,2020-04-09,56.0,77.0,1202.5,4.0,29.0,0.590190874,GOOG,2020-04-08,60.51,60.95,59.41,60.32,39502000.0,1210.28,1219.07,1188.16,1206.5
GOOG,2020-04-15,2020-04-17,528.0,380.0,1280.0,316.0,37.0,0.391915243,GOOG,2020-04-15,63.12,64.02,62.02,62.62,33434000.0,1262.47,1280.46,1240.4,1252.31
GOOG,2020-04-22,2020-04-24,308.0,610.0,1280.0,95.0,56.0,0.434950393,GOOG,2020-04-22,63.16,64.28,62.1,62.28,41862000.0,1263.21,1285.61,1242.0,1245.54
GOOG,2020-04-29,2020-05-01,315.0,85.0,1345.0,2.0,241.0,0.636126489,GOOG,2020-04-29,67.07,68.0,66.27,67.07,75872000.0,1341.48,1359.99,1325.34,1341.46
GOOG,2020-05-06,2020-05-08,308.0,405.0,1360.0,59.0,120.0,0.414082882,GOOG,2020-05-06,67.36,68.56,67.36,68.08,24308000.0,1347.3,1371.12,1347.29,1361.69
GOOG,2020-05-13,2020-05-15,200.0,196.0,1385.0,107.0,100.0,0.140580372,GOOG,2020-05-13,67.47,69.27,66.42,68.85,36250000.0,1349.33,1385.48,1328.4,1377.05
GOOG,2020-05-20,2020-05-22,801.0,551.0,1400.0,46.0,842.0,0.611916539,GOOG,2020-05-20,70.34,70.52,69.36,69.48,33105998.0,1406.72,1410.42,1387.25,1389.58
GOOG,2020-05-27,2020-05-29,245.0,69.0,1415.0,646.0,60.0,0.566649362,GOOG,2020-05-27,70.89,71.09,69.56,70.86,33722000.0,1417.84,1421.74,1391.29,1417.25
GOOG,2020-06-03,2020-06-05,364.0,447.0,1440.0,43.0,110.0,0.497036345,GOOG,2020-06-03,71.82,72.33,71.49,71.92,25122000.0,1436.38,1446.55,1429.78,1438.3
GOOG,2020-06-10,2020-06-12,434.0,360.0,1470.0,33.0,34.0,0.485979484,GOOG,2020-06-10,73.29,73.71,72.81,72.98,30502002.0,1465.85,1474.26,1456.27,1459.54
GOOG,2020-06-17,2020-06-19,647.0,926.0,1450.0,93.0,274.0,0.475745717,GOOG,2020-06-17,72.56,73.0,71.57,72.36,30992000.0,1451.12,1460.0,1431.38,1447.16
GOOG,2020-06-24,2020-06-26,262.0,439.0,1475.0,12.0,45.0,0.132409791,GOOG,2020-06-24,71.6,73.77,71.49,73.08,35120000.0,1431.97,1475.42,1429.75,1461.51
GOOG,2020-07-01,2020-07-02,1014.0,216.0,1440.0,76.0,489.0,0.545621802,GOOG,2020-07-01,71.9,72.15,70.49,70.56,35502000.0,1438.04,1443.0,1409.82,1411.1
GOOG,2020-07-08,2020-07-10,801.0,297.0,1505.0,99.0,16.0,0.369379561,GOOG,2020-07-08,74.8,75.29,74.28,74.72,24992000.0,1496.0,1505.88,1485.63,1494.32
GOOG,2020-07-15,2020-07-17,353.0,434.0,1530.0,169.0,125.0,0.360112886,GOOG,2020-07-15,75.68,76.77,74.9,76.16,32212000.0,1513.64,1535.33,1498.0,1523.13
GOOG,2020-07-22,2020-07-24,229.0,205.0,1570.0,48.0,42.0,0.44328558,GOOG,2020-07-22,78.42,78.5,77.31,78.03,18638000.0,1568.49,1570.0,1546.1,1560.5
GOOG,2020-07-29,2020-07-31,45.0,90.0,1515.0,74.0,32.0,0.538730495,GOOG,2020-07-29,76.1,76.56,75.07,75.32,22130000.0,1522.02,1531.25,1501.33,1506.32
GOOG,2020-08-05,2020-08-07,282.0,258.0,1480.0,573.0,159.0,0.317538323,GOOG,2020-08-05,73.68,74.12,73.17,73.46,39598000.0,1473.61,1482.41,1463.46,1469.3
GOOG,2020-08-12,2020-08-14,266.0,177.0,1510.0,81.0,55.0,0.46657129,GOOG,2020-08-12,75.33,75.62,74.26,74.28,28752000.0,1506.62,1512.39,1485.25,1485.58
GOOG,2020-08-19,2020-08-21,787.0,443.0,1570.0,37.0,72.0,0.291326725,GOOG,2020-08-19,77.38,78.68,77.2,77.67,33212000.0,1547.53,1573.68,1543.95,1553.31
GOOG,2020-08-26,2020-08-28,1827.0,809.0,1650.0,14.0,96.0,0.492195017,GOOG,2020-08-26,82.62,82.96,80.18,80.4,71620000.0,1652.38,1659.22,1603.6,1608.0
GOOG,2020-09-02,2020-09-04,931.0,76.0,1730.0,0.0,17.0,0.492152516,GOOG,2020-09-02,86.41,86.66,83.32,83.69,50222000.0,1728.28,1733.18,1666.33,1673.78
GOOG,2020-09-09,2020-09-11,57.0,5.0,1555.0,56.0,8.0,0.547078026,GOOG,2020-09-09,77.85,78.45,76.8,77.88,35494000.0,1556.96,1569.0,1536.05,1557.53
