index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
19.0,AMD,2019-06-26,2019-06-28,19096.0,16345.0,30.0,4782.0,12990.0,0.489433263,AMD,2019-06-26,29.92,30.48,29.78,29.98,65064200.0,29.92,30.48,29.78,29.98
21.0,AMD,2019-07-03,2019-07-05,7682.0,12318.0,31.0,9542.0,3539.0,0.554805804,AMD,2019-07-03,31.19,31.33,30.74,31.13,23462000.0,31.19,31.33,30.74,31.13
26.0,AMD,2019-07-10,2019-07-12,10630.0,8419.0,33.5,1980.0,6007.0,0.616171508,AMD,2019-07-10,33.79,34.03,33.36,33.56,60388400.0,33.79,34.03,33.36,33.56
35.0,AMD,2019-07-17,2019-07-19,4725.0,7040.0,33.5,6218.0,5955.0,0.525826085,AMD,2019-07-17,33.6,34.3,33.49,34.01,42557900.0,33.6,34.3,33.49,34.01
27.0,AMD,2019-07-24,2019-07-26,21379.0,16052.0,34.0,5405.0,11119.0,0.554719532,AMD,2019-07-24,34.11,34.36,33.45,33.64,41952200.0,34.11,34.36,33.45,33.64
23.0,AMD,2019-07-31,2019-08-02,23863.0,5809.0,32.0,8774.0,7922.0,0.176470117,AMD,2019-07-31,30.45,32.3,30.3,32.08,119190000.0,30.45,32.3,30.3,32.08
18.0,AMD,2019-08-07,2019-08-09,10406.0,20855.0,29.0,3829.0,3051.0,0.572406255,AMD,2019-08-07,29.19,29.28,28.37,28.47,58577500.0,29.19,29.28,28.37,28.47
23.0,AMD,2019-08-14,2019-08-16,12832.0,2464.0,30.5,2746.0,5238.0,0.483341571,AMD,2019-08-14,30.24,31.05,29.51,31.0,127521400.0,30.24,31.05,29.51,31.0
18.0,AMD,2019-08-21,2019-08-23,11613.0,7839.0,31.5,4170.0,4456.0,0.542913518,AMD,2019-08-21,31.7,31.74,30.84,31.05,41635000.0,31.7,31.74,30.84,31.05
15.0,AMD,2019-08-28,2019-08-30,5428.0,6072.0,30.5,3898.0,6169.0,0.595640619,AMD,2019-08-28,30.78,31.18,29.7,29.92,55896400.0,30.78,31.18,29.7,29.92
17.0,AMD,2019-09-04,2019-09-06,9725.0,7836.0,31.5,4413.0,3986.0,0.311668963,AMD,2019-09-04,30.95,31.83,30.85,31.32,46709700.0,30.95,31.83,30.85,31.32
15.0,AMD,2019-09-11,2019-09-13,16541.0,12299.0,30.0,8994.0,7008.0,0.436775317,AMD,2019-09-11,29.76,30.43,29.51,30.38,50631600.0,29.76,30.43,29.51,30.38
17.0,AMD,2019-09-18,2019-09-20,10885.0,7652.0,30.5,7423.0,4239.0,0.493954061,AMD,2019-09-18,30.42,30.89,29.88,30.75,47277300.0,30.42,30.89,29.88,30.75
15.0,AMD,2019-09-25,2019-09-27,15302.0,4451.0,29.5,9849.0,9645.0,0.520191387,AMD,2019-09-25,29.54,29.65,28.55,29.48,58691500.0,29.54,29.65,28.55,29.48
